Date,Asian Open,Asian High,Asian Low,Asian Close,Asian Adj Close,Asian Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,,,,,,,,,Dropdown,,,Date,Dmart Volume,Asian Volume
28-04-2022,3190,3268,3170,3247.699951,3229.091553,2001838,4023.899902,4054,3995.550049,4024.550049,4024.550049,247751,,,,,,,,,,,,,,28-04-2022,247751,2001838
29-04-2022,3249,3278,3221.300049,3237.199951,3218.651611,1088970,4048.899902,4085,3906,3944.25,3944.25,238651,,,,,,,,,,,,,,29-04-2022,238651,1088970
02-05-2022,3195,3211.5,3154.050049,3200,3181.664795,595522,3939.600098,3997.800049,3889,3983.350098,3983.350098,265831,,,,,,,,,,,,,,02-05-2022,265831,595522
04-05-2022,3178,3194.699951,3081.449951,3100.850098,3083.083008,1120002,4000,4023.949951,3850.199951,3867.149902,3867.149902,270400,,,,,,,,,,,,,,04-05-2022,270400,1120002
05-05-2022,3104.75,3126.949951,3070,3076.550049,3058.922119,724601,3920,3980,3775,3943.800049,3943.800049,457770,,,,,,,,,,,,,,05-05-2022,457770,724601
06-05-2022,3020,3052.399902,3003.899902,3016.25,2998.967773,923941,3866,3889.649902,3602.149902,3666.199951,3666.199951,858787,,,,,,,,,,,,,,06-05-2022,858787,923941
09-05-2022,3000.850098,3038.800049,2975,3005.25,2988.030762,998324,3655,3655,3486,3520.300049,3520.300049,732787,,,,,,,,,,,,,,09-05-2022,732787,998324
10-05-2022,3051,3138.75,3036,3086.350098,3068.666016,2460016,3501,3545.25,3402.149902,3414.949951,3414.949951,696666,,,,,,,,,,,,,,10-05-2022,696666,2460016
11-05-2022,3090.399902,3109.550049,2979,3053.649902,3036.15332,1883969,3448,3448,3311.699951,3339.699951,3339.699951,689554,,,,,,,,,,,,,,11-05-2022,689554,1883969
12-05-2022,3042,3078,2988,3039.949951,3022.531738,1254245,3310,3334.949951,3241.25,3270.449951,3270.449951,725552,,,,,,,,,,,,,,12-05-2022,725552,1254245
13-05-2022,3074.399902,3116.25,3035.300049,3064,3046.444092,1121729,3351,3357.75,3205,3230.600098,3230.600098,546754,,,,,,,,,,,,,,13-05-2022,546754,1121729
16-05-2022,3089.899902,3089.899902,2985.199951,2999.899902,2982.711182,733044,3260,3620,3186,3561.100098,3561.100098,1871384,,,,,,,,,,,,,,16-05-2022,1871384,733044
17-05-2022,2998.899902,3056.600098,2951,3050,3032.524414,1179081,3620,3724,3473.449951,3657,3657,926148,,,,,,,,,,,,,,17-05-2022,926148,1179081
18-05-2022,3030,3128.800049,3026,3100.100098,3082.337402,1379763,3700,3781,3650,3664.050049,3664.050049,712472,,,,,,,,,,,,,,18-05-2022,712472,1379763
19-05-2022,3000.5,3071.699951,3000.449951,3046.899902,3029.441895,772390,3513,3649,3491.5,3614.850098,3614.850098,439658,,,,,,,,,,,,,,19-05-2022,439658,772390
20-05-2022,3080,3125,3070,3109.949951,3092.130859,778957,3708.899902,3717.199951,3610,3630.399902,3630.399902,334172,,,,,,,,,,,,,,20-05-2022,334172,778957
23-05-2022,3143.949951,3188,3130.050049,3174.199951,3156.012695,813294,3650,3694.5,3552.050049,3574.100098,3574.100098,258246,,,,,,,,,,,,,,23-05-2022,258246,813294
24-05-2022,3174.75,3183.649902,3070,3086.850098,3069.16333,691307,3579.949951,3685,3571.199951,3656.75,3656.75,391193,,,,,,,,,,,,,,24-05-2022,391193,691307
25-05-2022,3039,3039,2826.300049,2838.050049,2821.788818,3381427,3670,3694,3555.649902,3586.449951,3586.449951,224375,,,,,,,,,,,,,,25-05-2022,224375,3381427
26-05-2022,2850,2860,2718.550049,2840.149902,2823.876709,3212196,3586.449951,3635.699951,3465.300049,3577.449951,3577.449951,279250,,,,,,,,,,,,,,26-05-2022,279250,3212196
27-05-2022,2868,2869,2781,2834.850098,2818.607178,1879534,3605,3649,3586,3613.850098,3613.850098,199688,,,,,,,,,,,,,,27-05-2022,199688,1879534
30-05-2022,2880,2884,2817,2844,2827.70459,2525482,3660,3824.899902,3645,3796.399902,3796.399902,429986,,,,,,,,,,,,,,30-05-2022,429986,2525482
31-05-2022,2844,2878,2811,2859.649902,2843.264893,2408221,3807.75,4049,3767.899902,3972.800049,3972.800049,1335568,,,,,,,,,,,,,,31-05-2022,1335568,2408221
01-06-2022,2859.649902,2939.899902,2832.050049,2852.5,2836.156006,1770795,3960,4039,3812.550049,3874.050049,3874.050049,620365,,,,,,,,,,,,,,01-06-2022,620365,1770795
02-06-2022,2870.199951,2919,2848,2908.550049,2891.884766,1164197,3885,3927.550049,3831.100098,3856.899902,3856.899902,302036,,,,,,,,,,,,,,02-06-2022,302036,1164197
03-06-2022,2905,2919.449951,2856,2886.899902,2870.358643,1228489,3888,3888.399902,3768,3820.100098,3820.100098,349881,,,,,,,,,,,,,,03-06-2022,349881,1228489
